,Item,Calories,Fat Calories,Fat (g),Saturated Fat (g),Trans Fat (g),Cholesterol (mg),Sodium (mg),Total Carb (g),Dietary Fiber (g),Sugars (g),Protein (g),Category,Clusters,Pred
69,CROISSAN'WICH Egg & Cheese,330,160,18.0,9.0,1.0,240,660,30.0,0.5,4.0,13.0,Breakfast,8,1.0
70,"CROISSAN'WICH Sausage, Egg & Cheese",510,310,34.0,15.0,1.0,275,1030,30.0,0.5,4.0,20.0,Breakfast,8,1.0
71,"CROISSAN'WICH Ham, Egg & Cheese",370,170,19.0,9.0,1.0,255,1060,31.0,0.5,5.0,19.0,Breakfast,8,1.0
72,"CROISSAN'WICH Bacon, Egg & Cheese",370,190,21.0,10.0,1.0,250,820,30.0,0.5,4.0,16.0,Breakfast,8,1.0
73,Fully Loaded CROISSAN'WICH,630,370,42.0,18.0,1.0,310,1810,32.0,0.5,5.0,31.0,Breakfast,10,2.0
74,Double CROISSAN'WICH with Sausage & Bacon,590,370,41.0,18.0,1.0,295,1410,31.0,0.5,5.0,25.0,Breakfast,10,2.0
75,Double CROISSAN'WICH with Sausage,720,480,54.0,23.0,1.0,320,1620,31.0,0.5,4.0,29.0,Breakfast,10,2.0
76,DoubleCROISSAN'WICH with Ham & Sausage,580,350,38.0,17.0,1.0,300,1650,32.0,0.5,5.0,28.0,Breakfast,10,2.0
77,Fully Loaded Biscuit,640,400,45.0,20.0,0.0,225,2190,31.0,1.0,4.0,28.0,Breakfast,10,2.0
78,"Ham, Egg, & Cheese Biscuit",410,210,23.0,11.0,1.0,235,1610,33.0,1.0,3.0,19.0,Breakfast,8,1.0
79,"Sausage, Egg, & Cheese Biscuit",550,350,39.0,17.0,1.0,250,1580,32.0,1.0,3.0,20.0,Breakfast,10,2.0
80,"Bacon, Egg & Cheese Biscuit",410,230,26.0,12.0,1.0,225,1370,32.0,1.0,3.0,15.0,Breakfast,8,1.0
81,Sausage Biscuit,430,270,30.0,13.0,0.0,35,1150,30.0,1.0,2.0,11.0,Breakfast,8,1.0
82,Breakfast Burrito Jr.,420,240,26.0,9.0,1.0,235,1080,29.0,2.0,2.0,16.0,Breakfast,8,1.0
83,EGG-NORMOUS BURRITO,810,400,44.0,16.0,1.5,445,2020,69.0,4.0,4.0,34.0,Breakfast,9,2.0
84,BK Ultimate Breakfast Platter,970,430,48.0,12.0,1.5,470,2100,110.0,4.0,36.0,26.0,Breakfast,9,4.0
85,NY Ultimate Platter (Regional menu item),900,420,46.0,12.0,0.0,380,1760,95.0,5.0,31.0,25.0,Breakfast,9,4.0
86,Pancake and Sausage platter,620,260,29.0,9.0,0.0,75,1080,79.0,1.0,36.0,13.0,Breakfast,13,0.0
87,Hash Browns- small,290,170,19.0,3.5,0.0,0,840,29.0,2.0,0.0,2.0,Breakfast,11,5.0
88,Hash Browns- medium,540,310,34.0,7.0,0.0,0,1480,54.0,5.0,0.0,4.0,Breakfast,12,3.0
89,Hash Browns- large,740,430,48.0,9.0,0.0,0,2040,75.0,6.0,0.5,6.0,Breakfast,12,3.0
90,French Toast Sticks (3 piece) w/o Syrup,230,90,10.0,2.0,0.0,0,220,32.0,2.0,9.0,4.0,Breakfast,11,5.0
91,French Toast Sticks (5 piece) w/o Syrup,380,140,16.0,3.5,0.0,0,400,77.0,3.0,33.0,6.0,Breakfast,13,0.0
